HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:13201	ADAMTS10	81794	ENSG00000142303
HGNC:14605	ADAMTS12	81792	ENSG00000151388
HGNC:1366	ADAMTS13	11093	ENSG00000160323
HGNC:14899	ADAMTS14	140766	ENSG00000138316
HGNC:16305	ADAMTS15	170689	ENSG00000166106
HGNC:17108	ADAMTS16	170690	ENSG00000145536
HGNC:17109	ADAMTS17	170691	ENSG00000140470
HGNC:17110	ADAMTS18	170692	ENSG00000140873
HGNC:17111	ADAMTS19	171019	ENSG00000145808
HGNC:40797	ADAMTS19-AS1		ENSG00000249421
HGNC:17178	ADAMTS20	80070	ENSG00000173157
HGNC:16662	ADAMTS21		
HGNC:14632	ADAMTSL1	92949	ENSG00000178031
HGNC:14631	ADAMTSL2	9719	ENSG00000197859
HGNC:14633	ADAMTSL3	57188	ENSG00000156218
HGNC:19706	ADAMTSL4	54507	ENSG00000143382
HGNC:32041	ADAMTSL4-AS1		ENSG00000203804
HGNC:40895	ADAMTSL4-AS2	100289061	ENSG00000237781
HGNC:27912	ADAMTSL5	339366	ENSG00000185761
HGNC:16486	ADAP1	11033	ENSG00000105963
HGNC:16487	ADAP2	55803	ENSG00000184060
HGNC:225	ADAR	103	ENSG00000160710
HGNC:226	ADARB1	104	ENSG00000197381
HGNC:227	ADARB2	105	ENSG00000185736
HGNC:23299	ADARB2-AS1	642394	ENSG00000205696
HGNC:228	ADAT1	23536	ENSG00000065457
HGNC:21172	ADAT2	134637	ENSG00000189007
HGNC:25151	ADAT3	113179	ENSG00000213638
HGNC:19038	ADCK1	57143	ENSG00000063761
HGNC:19039	ADCK2	90956	ENSG00000133597
HGNC:21738	ADCK5	203054	ENSG00000173137
HGNC:229	ADCP1	106	
HGNC:230	ADCP2		
HGNC:231	ADCR		
HGNC:232	ADCY1	107	ENSG00000164742
HGNC:233	ADCY2	108	ENSG00000078295
HGNC:234	ADCY3	109	ENSG00000138031
HGNC:235	ADCY4	196883	ENSG00000129467
HGNC:236	ADCY5	111	ENSG00000173175
HGNC:237	ADCY6	112	ENSG00000174233
HGNC:53332	ADCY6-DT	100506125	ENSG00000257660
HGNC:238	ADCY7	113	ENSG00000121281
HGNC:239	ADCY8	114	ENSG00000155897
HGNC:240	ADCY9	115	ENSG00000162104
HGNC:21285	ADCY10	55811	ENSG00000143199
HGNC:44143	ADCY10P1	221442	ENSG00000161912
HGNC:241	ADCYAP1	116	ENSG00000141433
HGNC:242	ADCYAP1R1	117	ENSG00000078549
HGNC:243	ADD1	118	ENSG00000087274
HGNC:244	ADD2	119	ENSG00000075340
HGNC:245	ADD3	120	ENSG00000148700
HGNC:48682	ADD3-AS1	100505933	ENSG00000203876
HGNC:246	ADDL		
HGNC:247	ADFN		
HGNC:21212	ADGB	79747	ENSG00000118492
HGNC:13838	ADGRA1	84435	ENSG00000197177
HGNC:49543	ADGRA1-AS1		ENSG00000256925
HGNC:17849	ADGRA2	25960	ENSG00000020181
HGNC:13839	ADGRA3	166647	ENSG00000152990
HGNC:943	ADGRB1	575	ENSG00000181790
HGNC:944	ADGRB2	576	ENSG00000121753
HGNC:945	ADGRB3	577	ENSG00000135298
HGNC:19893	ADGRD1	283383	ENSG00000111452
HGNC:53314	ADGRD1-AS1	105755954	ENSG00000256151
HGNC:18651	ADGRD2	347088	ENSG00000180264
HGNC:3336	ADGRE1	2015	ENSG00000174837
HGNC:3337	ADGRE2	30817	ENSG00000127507
HGNC:23647	ADGRE3	84658	ENSG00000131355
HGNC:19240	ADGRE4P	326342	ENSG00000268758
HGNC:1711	ADGRE5	976	ENSG00000123146
HGNC:18990	ADGRF1	266977	ENSG00000153292
HGNC:18991	ADGRF2	222611	ENSG00000164393
HGNC:18989	ADGRF3	165082	ENSG00000173567
HGNC:19011	ADGRF4	221393	ENSG00000153294
HGNC:19030	ADGRF5	221395	ENSG00000069122
HGNC:40864	ADGRF5-AS1	101926962	ENSG00000225730
HGNC:32922	ADGRF5P1	389740	ENSG00000227582
HGNC:32921	ADGRF5P2	441416	ENSG00000204818
HGNC:4512	ADGRG1	9289	ENSG00000205336
HGNC:4516	ADGRG2	10149	ENSG00000173698
HGNC:13728	ADGRG3	222487	ENSG00000182885
HGNC:18992	ADGRG4	139378	ENSG00000156920
HGNC:19010	ADGRG5	221188	ENSG00000159618
HGNC:13841	ADGRG6	57211	ENSG00000112414
HGNC:19241	ADGRG7	84873	ENSG00000144820
HGNC:20973	ADGRL1	22859	ENSG00000072071
HGNC:55309	ADGRL1-AS1	100507373	ENSG00000267169
HGNC:18582	ADGRL2	23266	ENSG00000117114
HGNC:20974	ADGRL3	23284	ENSG00000150471
HGNC:50604	ADGRL3-AS1	101927186	ENSG00000248692
HGNC:20822	ADGRL4	64123	ENSG00000162618
